"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"78",7,"Matthew Stafford",LAR,"QB8","53","282","84.9","23.5"
"79",7,"Trey Burton",FA,"TE9","26","139","85.0","18.0"
"80",7,"Carlos Hyde",FA,"RB28","37","164","82.3","22.3"
"81",7,"Andrew Luck",FA,"QB9","46","281","87.4","26.0"
"82",7,"Devin Funchess",FA,"WR36","32","193","85.3","21.3"
"83",7,"Alshon Jeffery",FA,"WR37","32","150","79.7","21.0"
"84",7,"Nelson Agholor",NE,"WR38","39","153","85.7","18.1"
"85",7,"William Fuller V",FA,"WR39","60","150","92.3","15.5"
"86",7,"Randall Cobb",GB,"WR40","40","212","84.0","26.1"
"87",7,"Duke Johnson Jr.",BUF,"RB29","42","170","84.8","22.6"
"88",7,"Jordan Reed",FA,"TE10","38","208","95.7","21.9"
"89",7,"Jamaal Williams",DET,"RB30","44","166","90.1","25.8"
"90",7,"Ben Roethlisberger",FA,"QB10","60","158","94.8","17.4"
"91",7,"Carson Wentz",WAS,"QB11","45","178","94.0","27.8"
"92",7,"Philip Rivers",FA,"QB12","63","272","100.1","23.6"
"93",7,"Julian Edelman",FA,"WR41","42","201","88.1","25.0"
"94",7,"Jordy Nelson",FA,"WR42","52","191","94.8","21.1"
"95",7,"Kenny Stills",NO,"WR43","46","157","87.4","22.8"
"96",7,"Jack Doyle",FA,"TE11","27","238","103.6","22.2"
"97",7,"Tarik Cohen",FA,"RB31","45","140","91.7","21.1"
"98",7,"Kerryon Johnson",FA,"RB32","34","174","88.9","23.4"
"99",7,"Sterling Shepard",NYG,"WR44","46","173","97.5","20.7"
"100",7,"Jimmy Garoppolo",SF,"QB13","64","177","105.1","18.2"
"101",7,"Chris Carson",SEA,"RB33","51","177","99.8","25.5"
"102",8,"David Njoku",CLE,"TE12","69","169","113.5","18.2"
"103",8,"Matt Ryan",IND,"QB14","66","279","114.0","24.5"
"104",8,"Sony Michel",LAR,"RB34","46","180","96.6","23.6"
"105",8,"Kelvin Benjamin",FA,"WR45","46","210","104.2","19.9"
"106",8,"Patrick Mahomes II",KC,"QB15","56","267","115.0","23.8"
"107",8,"George Kittle",SF,"TE13","71","206","118.5","20.8"
"108",8,"Peyton Barber",LV,"RB35","52","185","104.1","27.1"
"109",8,"Isaiah Crowell",FA,"RB36","60","160","106.4","19.8"
"110",8,"Jared Goff",DET,"QB16","70","264","123.1","23.3"
"111",8,"Rashaad Penny",SEA,"RB37","44","178","107.3","28.5"
"112",8,"Marcus Mariota",ATL,"QB17","73","271","126.4","24.2"
"113",8,"James White",NE,"RB38","55","232","116.1","30.2"
"114",8,"Matt Breida",NYG,"RB39","42","209","113.8","33.0"
"115",8,"Alex Smith",FA,"QB18","77","274","130.9","24.3"
"116",8,"Marlon Mack",HOU,"RB40","64","159","112.8","19.6"
"117",8,"Dak Prescott",DAL,"QB19","84","195","134.7","22.0"
"118",8,"O.J. Howard",BUF,"TE14","82","251","137.5","25.2"
"119",8,"Allen Hurns",FA,"WR46","63","221","118.9","27.8"
"120",8,"Tyler Eifert",FA,"TE15","82","254","138.9","24.4"
"121",8,"Giovani Bernard",TB,"RB41","71","250","129.6","25.6"
"122",8,"Keelan Cole Sr.",NYJ,"WR47","57","227","114.7","37.1"
"123",8,"Kenny Golladay",NYG,"WR48","75","244","128.5","28.1"
"124",8,"Ty Montgomery",NE,"RB42","79","239","131.9","27.4"
"125",8,"Tyler Lockett",SEA,"WR49","70","251","127.3","34.1"
"126",9,"Rishard Matthews",FA,"WR50","67","264","127.9","32.2"
"127",9,"Bilal Powell",FA,"RB43","67","206","129.2","25.6"
"128",9,"DeVante Parker",NE,"WR51","72","265","121.0","34.0"
"129",9,"Jacksonville Jaguars",JAC,"DST1","89","233","140.7","21.1"
"130",9,"Eric Ebron",FA,"TE16","81","263","146.7","27.0"
"131",9,"Theo Riddick",FA,"RB44","64","233","133.9","27.2"
"132",9,"Charles Clay",FA,"TE17","98","218","142.8","23.1"
"133",9,"Derek Carr",LV,"QB20","94","280","153.9","25.3"
"134",9,"Ronald Jones II",KC,"RB45","53","208","133.3","29.8"
"135",9,"Blake Bortles",FA,"QB21","90","278","156.7","28.4"
"136",9,"C.J. Anderson",FA,"RB46","61","272","144.4","30.4"
"137",9,"Eli Manning",FA,"QB22","108","270","161.5","25.3"
"138",9,"Mitchell Trubisky",PIT,"QB23","85","268","159.2","22.4"
"139",9,"Devontae Booker",FA,"RB47","86","238","142.9","27.0"
"140",9,"Austin Seferian-Jenkins",FA,"TE18","94","243","151.1","28.6"
"141",9,"Minnesota Vikings",MIN,"DST2","94","235","146.8","19.9"
"142",9,"Adrian Peterson",SEA,"RB48","56","312","138.3","41.1"
"143",9,"Cameron Brate",TB,"TE19","79","255","145.2","26.2"
